               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053992,            0.043881,            0.042489,             0.80915,             0.53564,             0.62308,             0.37816,             0.03692,            0.019704,            0.024569,            0.070038,           0.0033291,           0.0033291
                   1,            0.041013,            0.030541,            0.013805,             0.77323,             0.90354,             0.91275,              0.6445,            0.024961,            0.015431,           0.0069777,            0.039972,           0.0065965,           0.0065965
                   2,            0.034824,            0.026796,           0.0065317,             0.99289,             0.95388,             0.98029,             0.73448,            0.019706,            0.013803,           0.0040424,           0.0098402,           0.0097978,           0.0097978
                   3,              0.0286,            0.024296,           0.0047052,             0.99645,             0.96278,             0.98469,             0.81874,            0.015262,            0.012031,            0.002947,            0.009703,            0.009703,            0.009703
                   4,            0.024491,            0.021988,           0.0038549,             0.99342,             0.97388,             0.99392,             0.85883,            0.013596,            0.011177,            0.002958,            0.009703,            0.009703,            0.009703
                   5,            0.022322,            0.020845,           0.0034538,             0.98043,             0.98639,             0.99294,             0.88503,             0.01239,            0.010614,           0.0023886,            0.009604,            0.009604,            0.009604
                   6,            0.020819,            0.019651,           0.0031572,             0.98936,             0.99187,             0.99457,             0.89202,            0.011855,            0.010083,           0.0021047,            0.009505,            0.009505,            0.009505
                   7,            0.019755,            0.019044,           0.0029975,             0.99487,             0.96931,              0.9925,             0.90579,            0.011184,           0.0095185,           0.0021285,            0.009406,            0.009406,            0.009406
                   8,            0.018675,            0.018323,           0.0028243,             0.99684,             0.97324,             0.99343,             0.90901,            0.010004,           0.0086223,           0.0019519,            0.009307,            0.009307,            0.009307
                   9,            0.017978,            0.017717,           0.0026391,             0.99209,             0.98135,             0.99359,             0.91294,           0.0099189,           0.0087705,           0.0019111,            0.009208,            0.009208,            0.009208
                  10,            0.017052,            0.016924,           0.0025099,             0.99733,             0.97318,             0.99421,             0.92398,           0.0095667,           0.0086577,           0.0017517,            0.009109,            0.009109,            0.009109
                  11,            0.016492,            0.016508,           0.0024441,             0.98633,             0.99551,             0.99444,             0.93245,           0.0090813,           0.0081271,           0.0017412,             0.00901,             0.00901,             0.00901
                  12,            0.015925,            0.015973,            0.002392,             0.99527,             0.98446,             0.99443,             0.94081,            0.008827,           0.0081322,           0.0017193,            0.008911,            0.008911,            0.008911
                  13,            0.015317,            0.015597,           0.0022919,             0.99303,             0.99351,             0.99459,             0.93457,            0.008684,           0.0076958,           0.0015863,            0.008812,            0.008812,            0.008812
                  14,            0.015275,            0.015449,           0.0022428,             0.99833,             0.99615,             0.99473,              0.9377,           0.0082429,           0.0073264,           0.0015869,            0.008713,            0.008713,            0.008713
                  15,            0.014917,            0.015227,           0.0022078,             0.99778,             0.99661,             0.99475,             0.93715,           0.0081567,           0.0077125,            0.001574,            0.008614,            0.008614,            0.008614
                  16,            0.014697,            0.014991,           0.0021662,             0.99639,             0.99722,             0.99471,             0.94213,             0.00814,           0.0073724,           0.0015369,            0.008515,            0.008515,            0.008515
                  17,            0.014245,            0.014666,           0.0021245,             0.99827,             0.99495,             0.99477,             0.94664,           0.0079245,           0.0074133,           0.0015044,            0.008416,            0.008416,            0.008416
                  18,            0.014151,            0.014381,            0.002103,              0.9875,             0.99144,             0.99353,              0.9516,           0.0076035,           0.0067676,           0.0014876,            0.008317,            0.008317,            0.008317
