               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060179,            0.042501,            0.047399,             0.38924,             0.58961,             0.48335,             0.31683,            0.038864,            0.021892,            0.041219,            0.070062,           0.0033265,           0.0033265
                   1,            0.045851,            0.030008,             0.02648,             0.84678,             0.89435,             0.88778,             0.55861,            0.030752,            0.017828,           0.0097327,            0.039996,           0.0065939,           0.0065939
                   2,            0.040427,            0.025773,             0.00924,             0.88862,              0.9312,             0.96263,             0.65276,            0.029045,            0.016602,           0.0049679,           0.0098639,           0.0097953,           0.0097953
                   3,            0.033084,            0.023386,           0.0058665,             0.96658,             0.97895,             0.98833,             0.81208,            0.018265,            0.013582,           0.0035737,            0.009703,            0.009703,            0.009703
                   4,            0.028449,             0.02152,           0.0045342,             0.99715,             0.95724,             0.97818,             0.81673,            0.016513,             0.01289,            0.003272,            0.009703,            0.009703,            0.009703
                   5,            0.025808,            0.020455,           0.0040525,             0.97977,             0.97979,             0.99223,              0.8316,            0.017152,            0.012812,           0.0027164,            0.009604,            0.009604,            0.009604
                   6,            0.024069,            0.019483,            0.003736,             0.98733,             0.96324,             0.98814,             0.83119,            0.015148,            0.011801,           0.0026119,            0.009505,            0.009505,            0.009505
                   7,            0.022668,            0.018624,           0.0033666,             0.98269,                0.98,             0.99199,             0.87309,            0.013042,            0.010928,           0.0023726,            0.009406,            0.009406,            0.009406
                   8,            0.021808,            0.018091,           0.0031848,              0.9865,             0.98408,             0.99171,             0.87604,            0.012709,            0.010442,           0.0023114,            0.009307,            0.009307,            0.009307
                   9,            0.020751,            0.017611,           0.0030756,             0.99408,             0.96869,             0.98919,             0.88347,               0.012,            0.010555,           0.0023487,            0.009208,            0.009208,            0.009208
                  10,            0.019956,            0.017083,           0.0029383,             0.99071,             0.98764,             0.99358,              0.8975,              0.0119,           0.0099307,           0.0021842,            0.009109,            0.009109,            0.009109
                  11,            0.019526,            0.016697,            0.002809,             0.99476,              0.9939,             0.99455,             0.90896,            0.010995,           0.0098474,           0.0021046,             0.00901,             0.00901,             0.00901
                  12,            0.018668,            0.016344,           0.0026424,             0.99294,             0.98829,             0.99396,             0.91621,            0.010793,            0.009251,           0.0019554,            0.008911,            0.008911,            0.008911
                  13,            0.018254,            0.016011,           0.0026178,             0.99156,             0.97781,             0.99436,             0.91446,            0.010353,            0.010057,           0.0019347,            0.008812,            0.008812,            0.008812
                  14,            0.017736,            0.015725,            0.002538,             0.98594,             0.99119,             0.99391,             0.91523,           0.0099938,           0.0091978,           0.0019249,            0.008713,            0.008713,            0.008713
                  15,            0.017273,            0.015367,           0.0024644,             0.98999,             0.98619,             0.99365,             0.91431,            0.010048,           0.0093011,           0.0018645,            0.008614,            0.008614,            0.008614
                  16,            0.016718,            0.014907,           0.0023995,             0.99021,             0.97447,             0.99393,             0.92152,            0.009701,           0.0091074,           0.0018957,            0.008515,            0.008515,            0.008515
                  17,             0.01656,             0.01485,           0.0023341,             0.99011,             0.98631,             0.99376,             0.92276,           0.0092555,           0.0089365,           0.0017182,            0.008416,            0.008416,            0.008416
                  18,            0.016142,            0.014425,           0.0022984,             0.98509,              0.9865,             0.99368,             0.92635,           0.0096592,             0.00844,           0.0017572,            0.008317,            0.008317,            0.008317
