               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06036,            0.042522,            0.047339,             0.43193,             0.57683,             0.50897,             0.29284,            0.037561,            0.021421,            0.040685,            0.070062,           0.0033265,           0.0033265
                   1,            0.045826,            0.029832,            0.025899,             0.79915,             0.87939,             0.87473,             0.54704,            0.030453,            0.017562,           0.0094032,            0.039996,           0.0065939,           0.0065939
                   2,            0.040571,            0.025681,           0.0089956,             0.91205,             0.93545,             0.95254,             0.67118,            0.028203,            0.016307,           0.0050178,           0.0098639,           0.0097953,           0.0097953
                   3,            0.033393,            0.023388,            0.005679,             0.95455,             0.95867,             0.98463,             0.77179,            0.020015,            0.013782,           0.0037655,            0.009703,            0.009703,            0.009703
                   4,            0.028392,             0.02143,            0.004597,              0.9973,             0.96404,              0.9912,             0.80805,            0.018956,            0.013767,           0.0032529,            0.009703,            0.009703,            0.009703
                   5,            0.025768,            0.020211,           0.0039779,             0.98685,             0.99066,             0.99278,             0.84008,             0.01532,            0.012183,           0.0028106,            0.009604,            0.009604,            0.009604
                   6,            0.023929,             0.01948,           0.0035725,             0.99245,             0.96972,             0.99252,             0.86321,            0.014135,            0.011416,           0.0026064,            0.009505,            0.009505,            0.009505
                   7,            0.022555,             0.01851,           0.0033424,             0.99805,             0.99088,             0.99412,             0.87773,            0.012932,            0.010801,           0.0024772,            0.009406,            0.009406,            0.009406
                   8,            0.021614,            0.018145,           0.0031845,             0.99694,             0.98772,             0.99418,              0.8712,            0.013115,            0.011065,           0.0023238,            0.009307,            0.009307,            0.009307
                   9,            0.020801,            0.017407,           0.0030313,             0.98752,             0.99463,             0.99409,             0.89299,            0.011547,             0.01016,           0.0021781,            0.009208,            0.009208,            0.009208
                  10,            0.020119,            0.017075,            0.002845,             0.98968,             0.99375,             0.99375,             0.90403,             0.01174,           0.0097189,           0.0021253,            0.009109,            0.009109,            0.009109
                  11,            0.019486,            0.016625,           0.0027621,             0.98435,             0.98112,             0.99293,             0.89644,            0.011111,           0.0097137,           0.0019732,             0.00901,             0.00901,             0.00901
                  12,            0.018561,            0.016132,           0.0026911,             0.99488,             0.99231,             0.99443,             0.91311,            0.010754,           0.0099099,           0.0020187,            0.008911,            0.008911,            0.008911
                  13,            0.018289,            0.016036,           0.0025881,              0.9958,             0.97826,             0.99372,             0.91157,            0.010188,           0.0096808,           0.0019328,            0.008812,            0.008812,            0.008812
                  14,            0.017733,            0.015797,           0.0025334,              0.9958,             0.99337,             0.99457,             0.90558,            0.010342,           0.0091216,           0.0018223,            0.008713,            0.008713,            0.008713
                  15,            0.017407,            0.015218,           0.0024321,             0.99519,             0.99526,             0.99465,             0.92172,           0.0099861,           0.0084875,           0.0019184,            0.008614,            0.008614,            0.008614
                  16,            0.016727,            0.014891,            0.002368,             0.99325,             0.97374,             0.99377,             0.91629,           0.0098618,           0.0084582,           0.0017659,            0.008515,            0.008515,            0.008515
                  17,            0.016323,            0.014651,           0.0023237,             0.99385,             0.98955,             0.99426,             0.93251,           0.0094019,            0.009003,           0.0018288,            0.008416,            0.008416,            0.008416
                  18,            0.015833,            0.014261,           0.0022907,             0.99821,             0.99451,             0.99481,             0.93042,           0.0091559,           0.0082033,           0.0016856,            0.008317,            0.008317,            0.008317
                  19,            0.015685,            0.014107,           0.0021862,             0.99307,             0.99395,             0.99475,             0.93629,           0.0090504,           0.0081659,           0.0016275,            0.008218,            0.008218,            0.008218
                  20,            0.015607,             0.01404,           0.0022534,             0.99896,             0.99377,             0.99467,             0.93647,           0.0089169,           0.0081356,           0.0016453,            0.008119,            0.008119,            0.008119
                  21,            0.015242,            0.013822,           0.0021715,             0.99795,             0.99594,             0.99479,             0.93556,           0.0086989,           0.0080034,            0.001641,             0.00802,             0.00802,             0.00802
                  22,            0.014771,            0.013508,           0.0021106,             0.99053,             0.98376,             0.99424,             0.93896,           0.0084821,           0.0077857,           0.0015874,            0.007921,            0.007921,            0.007921
                  23,             0.01482,             0.01342,           0.0020465,             0.99777,             0.99474,             0.99467,             0.94501,            0.008435,           0.0077849,           0.0015689,            0.007822,            0.007822,            0.007822
                  24,            0.014648,            0.013443,           0.0020316,             0.99766,             0.99447,              0.9947,             0.94683,           0.0081288,           0.0077714,           0.0015725,            0.007723,            0.007723,            0.007723
                  25,            0.014352,            0.013285,            0.002045,             0.99757,             0.99463,             0.99467,             0.94678,           0.0082016,           0.0076461,           0.0015988,            0.007624,            0.007624,            0.007624
                  26,            0.014043,            0.013041,           0.0019901,             0.99765,             0.99354,             0.99469,             0.94276,           0.0080048,           0.0080778,           0.0015639,            0.007525,            0.007525,            0.007525
                  27,            0.013853,            0.012921,           0.0019673,             0.98964,             0.99268,             0.99433,             0.94964,           0.0079928,           0.0078901,           0.0015146,            0.007426,            0.007426,            0.007426
                  28,            0.013591,            0.012683,           0.0019622,             0.99707,              0.9733,             0.99437,             0.94426,           0.0077802,           0.0078065,           0.0015033,            0.007327,            0.007327,            0.007327
                  29,            0.013546,            0.012629,           0.0018869,             0.99399,             0.99324,              0.9946,              0.9454,           0.0077216,           0.0073548,           0.0014648,            0.007228,            0.007228,            0.007228
                  30,            0.013396,            0.012396,           0.0018777,              0.9947,             0.98624,             0.99427,              0.9551,           0.0075515,           0.0075262,            0.001424,            0.007129,            0.007129,            0.007129
                  31,            0.013184,            0.012317,           0.0018621,             0.99609,             0.97427,             0.99445,             0.95507,           0.0073972,           0.0071544,           0.0014313,             0.00703,             0.00703,             0.00703
                  32,             0.01302,            0.012232,           0.0018348,             0.99748,             0.99543,             0.99462,             0.95773,            0.007316,           0.0070902,           0.0014177,            0.006931,            0.006931,            0.006931
                  33,            0.012658,             0.01176,            0.001841,              0.9975,             0.99444,             0.99484,             0.96213,           0.0071074,           0.0065696,           0.0014346,            0.006832,            0.006832,            0.006832
                  34,            0.012903,            0.011961,           0.0017873,               0.996,              0.9956,             0.99453,             0.95779,           0.0071908,           0.0066222,            0.001386,            0.006733,            0.006733,            0.006733
                  35,            0.012679,            0.011875,           0.0017975,             0.99661,             0.99235,             0.99466,             0.96159,           0.0071131,           0.0062099,           0.0014056,            0.006634,            0.006634,            0.006634
                  36,            0.012548,            0.011875,           0.0017872,             0.99669,             0.99476,             0.99463,             0.96107,           0.0071703,           0.0067759,           0.0013848,            0.006535,            0.006535,            0.006535
